School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
Charter Oak State College,"Liberal Arts School, State School","$54,100","$86,800",69%,0%
Methodist University,"Private School, Religious","$49,800","$86,700",54%,12%
Florida Gulf Coast University,"For Sports Fans, State School","$51,100","$86,700",55%,11%
Grand Valley State University,State School,"$51,800","$86,700",48%,18%
Franklin University,"Business, Private School","$50,300","$86,600",52%,5%
Baldwin Wallace University,Private School,"$49,400","$86,600",41%,13%
CUNY Lehman College,State School,"$52,000","$86,600",57%,9%
Campbell University,"Private School, Religious, For Sports Fans","$50,900","$86,600",56%,10%
,"Research University, State School","$49,400","$86,600",71%,13%
Rhode Island College,State School,"$51,800","$86,600",51%,5%
Rivier University,"Private School, Religious","$55,300","$86,600",57%,8%
Albertus Magnus College,"Private School, Religious","$55,500","$86,600",63%,1%
University of Central Missouri,State School,"$51,400","$86,600",55%,18%
University of Holy Cross,"Private School, Religious","$52,000","$86,600",61%,10%
Johnson C Smith University,"Liberal Arts School, Private School","$51,100","$86,500",57%,17%
University of South Alabama,"Research University, For Sports Fans, State School","$51,800","$86,500",57%,16%
University of Southern Mississippi,"Research University, For Sports Fans, State School","$47,800","$86,500",58%,10%
The University of Texas at Tyler,State School,"$55,000","$86,400",59%,13%
Brazosport College,State School,"$49,200","$86,400",-,1%
Salem State University,State School,"$51,800","$86,400",53%,7%
Eastern New Mexico University-Main Campus,State School,"$47,700","$86,300",65%,4%
The University of the Arts,"Art, Private School","$51,000","$86,300",38%,0%
Sweet Briar College,"Liberal Arts School, Private School","$47,100","$86,300",58%,32%
Jacksonville State University,"For Sports Fans, State School","$47,700","$86,300",61%,9%
Culver-Stockton College,"Private School, Religious","$44,900","$86,300",55%,6%
Washburn University,State School,"$51,200","$86,300",54%,4%
University of North Carolina Wilmington,"For Sports Fans, State School","$50,400","$86,200",50%,13%
Florida Agricultural and Mechanical University,"Research University, For Sports Fans, State School","$52,300","$86,200",60%,10%
Purdue University Fort Wayne,"For Sports Fans, State School","$51,900","$86,200",52%,18%
Plymouth State University,State School,"$51,500","$86,200",50%,7%
Cleveland Institute of Art,"Art, Private School","$49,300","$86,100",38%,0%
The College of Saint Rose,Private School,"$47,900","$86,100",49%,3%
The University of West Florida,"Research University, State School","$48,900","$86,100",55%,12%
Trinity Christian College,"Private School, Religious","$53,000","$86,100",63%,7%
Northeastern Illinois University,State School,"$51,600","$86,100",48%,17%
Western Kentucky University,"For Sports Fans, State School","$49,200","$86,100",49%,10%
D'Youville College,Private School,"$53,100","$86,000",71%,5%
Minnesota State University Moorhead,State School,"$48,800","$86,000",55%,7%
University of Nebraska at Kearney,State School,"$48,400","$85,900",57%,9%
Muskingum University,"Private School, Religious","$46,900","$85,800",44%,11%
Caldwell University,"Private School, Religious","$46,000","$85,800",60%,10%
Angelo State University,State School,"$52,000","$85,800",62%,10%
Webber International University,"Business, Private School","$48,200","$85,800",50%,3%
University of Wisconsin-Superior,State School,"$47,100","$85,700",53%,7%
University of North Carolina School of the Arts,"Art, State School","$51,100","$85,600",49%,0%
John Brown University,Private School,"$52,100","$85,600",55%,8%
Middle Tennessee State University,"Research University, Sober School, For Sports Fans, State School","$50,800","$85,500",53%,12%
Howard Payne University,"Private School, Religious","$49,700","$85,500",47%,8%
Eureka College,"Private School, Religious","$46,600","$85,500",57%,8%
University of the District of Columbia,State School,"$54,800","$85,500",53%,14%
Southern Connecticut State University,State School,"$53,100","$85,500",50%,7%
Southern Nazarene University,"Private School, Religious","$50,100","$85,400",63%,5%
Eastern University,"Private School, Religious","$48,600","$85,400",55%,3%
Murray State University,"For Sports Fans, State School","$49,000","$85,400",55%,9%
