School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
Guilford College,"Liberal Arts School, Private School, Religious","$46,300","$79,800",50%,14%
Our Lady of the Lake University,"Private School, Religious","$47,500","$79,800",61%,4%
Warner University,"Private School, Religious","$45,100","$79,800",65%,3%
Midwestern Baptist Theological Seminary,"Private School, Religious","$43,000","$79,800",-,0%
Louisiana College,"Private School, Religious","$48,800","$79,700",67%,3%
Bethany College (Kansas),"Private School, Religious","$39,200","$79,700",59%,19%
Fisher College,Private School,"$48,300","$79,700",51%,3%
Meredith College,"Liberal Arts School, Private School","$47,900","$79,600",50%,11%
Texas A&M University-Texarkana,State School,"$42,900","$79,600",45%,9%
College of Central Florida,State School,"$45,900","$79,600",84%,5%
Mount Mercy University,"Private School, Religious","$53,200","$79,600",53%,5%
Southwest Minnesota State University,State School,"$49,000","$79,500",57%,5%
University of Wisconsin-Green Bay,"For Sports Fans, State School","$49,100","$79,400",48%,6%
Becker College,Private School,"$51,100","$79,400",68%,13%
University of Mary,"Private School, Religious","$52,100","$79,300",68%,6%
Alvernia University,"Private School, Religious","$48,500","$79,300",54%,4%
Emory & Henry College,"Liberal Arts School, Private School, Religious","$43,900","$79,300",49%,6%
Georgia Gwinnett College,State School,"$49,400","$79,300",38%,26%
Northcentral University,"Private School, Research University","$47,500","$79,300",-,2%
Massachusetts College of Liberal Arts,"Liberal Arts School, State School","$48,500","$79,300",52%,8%
Morningside College,"Private School, Religious","$48,900","$79,300",60%,7%
Tiffin University,Private School,"$48,300","$79,200",55%,2%
Western New Mexico University,State School,"$46,800","$79,200",73%,4%
East Tennessee State University,"Research University, For Sports Fans, State School","$47,100","$79,200",57%,9%
University of Hawaii-West Oahu,State School,"$45,900","$79,200",56%,0%
Wilmington College,"Private School, Religious","$46,100","$79,100",57%,4%
Western Carolina University,"For Sports Fans, State School","$48,700","$79,100",55%,9%
University of North Carolina at Asheville,"Liberal Arts School, For Sports Fans, State School","$47,900","$79,100",47%,23%
Oakwood University,"Private School, Religious","$48,300","$79,100",72%,19%
College of Saint Mary,"Private School, Religious","$50,100","$79,100",47%,1%
Vincennes University,State School,"$47,000","$79,100",62%,3%
Ursuline College,"Private School, Religious","$50,400","$79,000",55%,2%
Kent State University at Stark,State School,"$43,100","$79,000",-,0%
,"Private School, Research University","$47,400","$79,000",74%,15%
Baker College,Private School,"$50,800","$79,000",45%,10%
Salem College,"Liberal Arts School, Private School, Religious","$42,500","$78,800",55%,13%
Greensboro College,"Private School, Religious","$49,200","$78,800",63%,2%
Davis & Elkins College,"Liberal Arts School, Private School, Religious","$43,300","$78,800",40%,5%
Seton Hill University,"Private School, Religious","$46,600","$78,800",63%,8%
Warner Pacific University,"Private School, Religious","$49,500","$78,700",61%,21%
University of North Carolina at Greensboro,"Research University, For Sports Fans, State School","$47,200","$78,700",51%,12%
Governors State University,State School,"$49,100","$78,700",52%,12%
Colorado Christian University,"Private School, Religious","$52,200","$78,700",72%,2%
Madonna University,"Private School, Religious","$49,100","$78,700",63%,3%
Columbia College (Missouri),"Private School, Religious","$48,900","$78,700",56%,3%
University of the Incarnate Word,"Private School, Religious, For Sports Fans","$51,300","$78,600",60%,9%
Arkansas Tech University,State School,"$48,800","$78,600",57%,7%
Wilmington University,"Private School, Research University","$50,600","$78,600",51%,14%
Carson-Newman University,"Private School, Religious","$46,800","$78,500",57%,7%
University of North Alabama,State School,"$46,000","$78,500",59%,6%
Morehead State University,"For Sports Fans, State School","$45,000","$78,500",60%,8%
Grand View University,"Private School, Religious","$49,600","$78,500",50%,7%
SUNY Buffalo State,State School,"$46,600","$78,400",47%,8%
Charleston Southern University,"Private School, Religious, For Sports Fans","$47,400","$78,400",63%,11%
University of Pittsburgh-Bradford,State School,"$45,000","$78,300",33%,29%
West Liberty University,State School,"$45,600","$78,300",51%,10%
Milwaukee Institute of Art & Design,"Art, Private School","$48,200","$78,300",38%,0%
Herzing University-Madison,Private School,"$53,500","$78,300",54%,5%
Athens State University,State School,"$49,600","$78,300",53%,8%
Manhattan Christian College,"Private School, Religious","$40,600","$78,300",-,0%
Indiana University-Southeast,State School,"$45,600","$78,200",43%,11%
College of the Ozarks,"Private School, Religious, Sober School","$42,700","$78,200",46%,10%
Coppin State University,"For Sports Fans, State School","$46,700","$78,200",62%,5%
Notre Dame College,"Private School, Religious","$47,800","$78,100",54%,6%
East Central University,State School,"$47,800","$78,100",67%,11%
Concordia University-Chicago,"Private School, Religious","$47,800","$78,100",57%,1%
Buena Vista University,"Private School, Religious","$44,900","$78,100",59%,4%
,"Private School, Religious","$44,700","$78,000",72%,11%
Arizona Christian University,"Private School, Religious","$49,100","$78,000",56%,11%
William Jessup University,"Private School, Religious","$46,300","$78,000",67%,6%
Aquinas College,"Private School, Religious","$45,200","$78,000",48%,8%
Tennessee State University,"Research University, For Sports Fans, State School","$51,800","$77,900",67%,13%
Indiana University-South Bend,State School,"$49,400","$77,900",48%,9%
Central Methodist University-College of Liberal Arts and Sciences,"Private School, Religious","$47,800","$77,900",64%,19%
Keuka College,Private School,"$47,500","$77,800",67%,2%
Brandman University,Private School,"$47,900","$77,800",42%,1%
Miami Dade College,State School,"$50,100","$77,800",62%,2%
University of West Alabama,State School,"$47,400","$77,800",60%,3%
,State School,"$46,900","$77,700",57%,18%
Brenau University,Private School,"$48,700","$77,700",62%,2%
Wayne State College,State School,"$44,300","$77,700",55%,11%
Missouri Baptist University,"Private School, Religious","$47,000","$77,700",55%,2%
University of the Ozarks,"Private School, Religious","$46,700","$77,500",61%,17%
Rogers State University,State School,"$45,500","$77,400",47%,10%
Glenville State College,State School,"$44,700","$77,400",63%,2%
North Carolina Wesleyan College,"Private School, Religious","$48,400","$77,300",61%,10%
Nazareth College,Private School,"$45,600","$77,300",50%,5%
Albany State University,State School,"$44,000","$77,300",68%,5%
Calumet College of Saint Joseph,"Private School, Religious","$46,700","$77,300",63%,1%
Barton College,"Private School, Religious","$43,100","$77,200",61%,4%
The University of Tennessee-Martin,"For Sports Fans, State School","$47,800","$77,200",56%,8%
New Mexico Highlands University,State School,"$43,800","$77,100",69%,8%
Judson University,"Private School, Religious","$47,200","$77,100",62%,1%
Mansfield University of Pennsylvania,State School,"$46,400","$77,000",54%,14%
Mount Mary University,"Private School, Religious","$47,200","$77,000",48%,3%
University of Pittsburgh-Greensburg,"Liberal Arts School, State School","$47,000","$77,000",39%,27%
Palm Beach State College,State School,"$47,700","$77,000",65%,4%
Gallaudet University,Private School,"$45,000","$77,000",71%,7%
Kentucky State University,State School,"$44,800","$77,000",67%,14%
Granite State College,State School,"$49,100","$76,900",60%,2%
Tusculum University,"Private School, Religious","$42,900","$76,900",61%,6%
Fontbonne University,"Private School, Religious","$48,200","$76,900",60%,5%
St Petersburg College,State School,"$50,900","$76,800",52%,10%
Pfeiffer University,"Private School, Religious","$48,400","$76,700",52%,5%
Moore College of Art and Design,"Art, Private School","$43,500","$76,700",45%,0%
Regent University,"Private School, Research University","$45,300","$76,700",60%,1%
"Stevens-Henager College (Murray, Utah)",Private School,"$45,000","$76,700",54%,34%
Los Angeles Pacific University,"Private School, Religious","$49,400","$76,700",-,0%
University of Hawaii at Hilo,State School,"$48,000","$76,700",65%,13%
Indiana University-Northwest,State School,"$47,100","$76,700",57%,8%
University of Mobile,"Private School, Religious","$43,100","$76,700",79%,6%
Alverno College,"Private School, Religious","$47,400","$76,600",62%,3%
Liberty University,"Private School, Religious, Research University, For Sports Fans","$48,500","$76,600",62%,4%
Limestone University,Private School,"$45,200","$76,600",62%,9%
Tabor College,"Private School, Religious","$45,900","$76,600",59%,8%
Culinary Institute of America,Private School,"$46,100","$76,500",51%,0%
Southern Wesleyan University,"Private School, Religious","$47,300","$76,500",62%,5%
Wilberforce University,"Private School, Religious","$46,900","$76,400",66%,-
Eastern Mennonite University,"Private School, Religious","$46,900","$76,400",74%,7%
Castleton University,State School,"$45,700","$76,400",51%,8%
Spring Arbor University,"Private School, Religious","$44,100","$76,400",66%,2%
Asbury University,Private School,"$42,500","$76,400",56%,7%
Oklahoma Panhandle State University,State School,"$45,900","$76,200",61%,10%
Central Methodist University-College of Graduate and Extended Studies,"Private School, Religious","$43,500","$76,200",-,6%
Georgia Southwestern State University,State School,"$45,800","$76,200",51%,4%
Midland University,"Private School, Religious","$48,000","$76,200",68%,4%
Belhaven University,"Business, Private School, Religious","$45,100","$76,200",65%,1%
University of Northwestern Ohio,Private School,"$46,600","$76,100",48%,1%
University of Rio Grande,Private School,"$44,000","$76,100",56%,4%
Bluefield State College,State School,"$52,100","$76,100",62%,3%
Lakeland University,"Business, Private School, Religious","$51,700","$76,100",47%,9%
Brewton-Parker College,"Private School, Religious","$40,100","$76,100",-,4%
Schreiner University,"Liberal Arts School, Private School, Religious","$43,000","$76,000",53%,13%
University of the Cumberlands,"Private School, Religious, Research University","$44,300","$76,000",60%,44%
CUNY Medgar Evers College,State School,"$51,300","$75,800",65%,36%
Huntington University,"Private School, Religious","$42,000","$75,800",59%,3%
Chicago State University,"For Sports Fans, State School","$47,000","$75,800",61%,10%
Jackson State University,"Research University, For Sports Fans, State School","$45,800","$75,800",65%,19%
Edinboro University of Pennsylvania,State School,"$44,800","$75,700",51%,6%
Montreat College,"Private School, Religious","$46,000","$75,700",62%,21%
Thiel College,"Liberal Arts School, Private School, Religious","$43,700","$75,700",50%,22%
Hannibal-LaGrange University,"Private School, Religious","$42,300","$75,700",51%,4%
Kentucky Christian University,"Private School, Religious","$44,400","$75,700",-,0%
St. Andrews University,"Private School, Religious","$43,000","$75,600",38%,6%
Florida State College at Jacksonville,State School,"$48,600","$75,600",51%,7%
Friends University,Private School,"$49,300","$75,600",59%,8%
Erskine College,"Liberal Arts School, Private School, Religious","$49,500","$75,500",58%,17%
Winston-Salem State University,State School,"$50,500","$75,400",75%,8%
SUNY College of Technology at Canton,State School,"$44,700","$75,400",66%,3%
Lee University,"Private School, Religious","$46,700","$75,400",59%,4%
Quincy University,"Private School, Religious","$44,900","$75,400",61%,12%
Union Institute & University,"Private School, Research University","$48,300","$75,300",83%,0%
Fairmont State University,State School,"$46,000","$75,300",51%,6%
Hodges University,Private School,"$45,100","$75,300",59%,12%
Lewis-Clark State College,State School,"$50,300","$75,300",61%,7%
Southwest Baptist University,"Private School, Religious","$45,600","$75,300",50%,4%
University of Science and Arts of Oklahoma,"Liberal Arts School, State School","$41,400","$75,200",55%,14%
Lourdes University,"Private School, Religious","$49,900","$75,100",68%,6%
Bluffton University,"Private School, Religious","$45,700","$75,100",57%,8%
Peirce College,Private School,"$49,700","$75,100",45%,10%
SUNY Brockport,State School,"$49,500","$75,100",59%,8%
Northern Vermont University,State School,"$41,700","$75,100",44%,7%
Bethel University (Indiana),"Private School, Religious","$47,300","$74,900",50%,8%
Amridge University,"Private School, Religious","$41,300","$74,900",-,0%
Crown College,"Private School, Religious","$48,400","$74,900",74%,1%
Delta State University,State School,"$43,900","$74,900",62%,5%
Norfolk State University,"For Sports Fans, State School","$48,100","$74,700",64%,16%
Faulkner University,"Business, Private School, Religious","$42,400","$74,700",58%,1%
Concordia University-Ann Arbor,"Private School, Religious","$40,000","$74,700",-,8%
University of Montevallo,State School,"$41,200","$74,600",53%,5%
University of Northwestern-St Paul,"Private School, Religious","$49,300","$74,600",60%,10%
William Penn University,"Private School, Religious","$49,400","$74,600",61%,10%
University of Maine at Presque Isle,State School,"$44,900","$74,600",62%,3%
Carlow University,"Private School, Religious","$46,900","$74,500",59%,7%
Medaille College,Private School,"$46,400","$74,500",56%,2%
Maryville College,"Liberal Arts School, Private School, Religious","$46,500","$74,500",72%,18%
Cincinnati College of Mortuary Science,Private School,"$41,800","$74,400",-,0%
La Roche University,"Private School, Religious","$47,700","$74,400",44%,20%
North Carolina Central University,"For Sports Fans, State School","$47,100","$74,400",61%,10%
Black Hills State University,State School,"$44,500","$74,400",62%,8%
Life University,Private School,"$45,500","$74,400",-,15%
Alabama State University,"For Sports Fans, State School","$43,200","$74,400",56%,13%
Cazenovia College,Private School,"$42,300","$74,300",41%,4%
Paine College,"Liberal Arts School, Private School, Religious","$39,400","$74,300",-,4%
Judson College,"Liberal Arts School, Private School, Religious","$41,900","$74,200",-,10%
Chestnut Hill College,"Private School, Religious","$44,900","$74,100",56%,10%
Mid-America Christian University,"Private School, Religious","$43,400","$74,100",67%,2%
Davenport University,"Business, Private School","$49,800","$74,100",49%,12%
North Central University,"Private School, Religious","$47,200","$74,000",68%,2%
Springfield College,Private School,"$47,600","$74,000",70%,3%
Berea College,"Liberal Arts School, Private School","$45,100","$74,000",54%,22%
Bluefield College,"Private School, Religious","$46,100","$73,900",62%,38%
Blackburn College,"Private School, Religious","$46,100","$73,900",40%,17%
Evangel University,"Private School, Religious","$45,200","$73,800",68%,5%
University of Maine at Augusta,State School,"$45,900","$73,800",61%,9%
Independence University,Private School,"$42,200","$73,700",79%,5%
Pensacola State College,State School,"$46,100","$73,700",57%,5%
Bethel College-North Newton,"Liberal Arts School, Private School, Religious","$49,000","$73,600",69%,10%
Gardner-Webb University,"Private School, Religious, Research University, For Sports Fans","$45,100","$73,500",58%,5%
Lees-McRae College,"Private School, Religious","$42,100","$73,500",68%,18%
Art Academy of Cincinnati,"Art, Private School","$41,000","$73,400",40%,0%
Cornerstone University,"Private School, Religious","$46,200","$73,400",60%,2%
Sul Ross State University,State School,"$44,500","$73,300",68%,7%
Simpson University,"Private School, Religious","$47,300","$73,200",69%,2%
University of North Carolina at Pembroke,State School,"$43,300","$73,100",66%,11%
Lincoln University (Missouri),State School,"$41,800","$73,100",59%,11%
Paul Quinn College,"Private School, Religious","$43,300","$73,000",-,3%
Moody Bible Institute,"Private School, Religious","$46,000","$73,000",65%,0%
Wesley College,"Private School, Religious","$51,200","$73,000",49%,6%
Minot State University,State School,"$50,200","$72,900",58%,4%
Anderson University (South Carolina),"Private School, Religious","$44,000","$72,900",52%,4%
Polk State College,State School,"$46,200","$72,900",58%,1%
Indiana University-East,State School,"$49,200","$72,900",44%,12%
McPherson College,"Private School, Religious","$46,500","$72,900",52%,9%
Marywood University,"Private School, Religious","$46,700","$72,800",49%,5%
Southwestern Assemblies of God University,"Private School, Religious","$45,800","$72,800",68%,0%
Hilbert College,"Private School, Religious","$43,800","$72,600",52%,1%
College of Biblical Studies-Houston,"Private School, Religious","$45,300","$72,600",-,0%
Tennessee Wesleyan University,"Private School, Religious","$45,400","$72,600",57%,4%
Jarvis Christian College,"Private School, Religious","$40,100","$72,600",-,20%
University of Maine at Fort Kent,State School,"$50,000","$72,600",74%,5%
University of Maine at Farmington,State School,"$47,000","$72,600",59%,6%
Averett University,"Private School, Religious","$44,700","$72,500",56%,6%
Ottawa University-Phoenix,"Private School, Religious","$43,900","$72,500",59%,22%
University of Pikeville,"Liberal Arts School, Private School, Religious","$42,400","$72,500",-,9%
Eastern Oregon University,State School,"$49,000","$72,300",53%,6%
Johnson & Wales University-Charlotte,Private School,"$42,900","$72,200",45%,0%
Peru State College,State School,"$47,200","$72,200",49%,8%
Central State University,State School,"$44,800","$72,100",58%,16%
Dalton State College,State School,"$46,700","$72,100",50%,9%
Reinhardt University,"Private School, Religious","$46,000","$72,100",46%,7%
Missouri Valley College,"Private School, Religious","$43,400","$72,100",68%,11%
Chowan University,"Private School, Religious","$45,100","$72,000",49%,10%
Converse College,Private School,"$44,200","$72,000",54%,7%
Bryan College-Dayton,"Business, Private School, Religious","$42,500","$72,000",55%,2%
Gordon State College,State School,"$44,500","$72,000",-,8%
Trine University-Regional/Non-Traditional Campuses,"Business, Private School","$43,700","$71,900",60%,14%
Chipola College,State School,"$39,000","$71,800",-,0%
Calvary University,"Private School, Religious","$43,200","$71,800",-,0%
Savannah State University,"For Sports Fans, State School","$44,000","$71,700",67%,17%
Saint Mary-of-the-Woods College,"Private School, Religious","$44,500","$71,700",66%,0%
Mary Baldwin University,"Private School, Religious","$42,400","$71,600",58%,4%
University of Arkansas-Fort Smith,State School,"$44,600","$71,500",58%,17%
Life Pacific University,"Private School, Religious","$42,700","$71,200",81%,0%
,Private School,"$45,100","$70,900",60%,36%
Lincoln Memorial University,Private School,"$45,000","$70,800",68%,8%
Keystone College,Private School,"$41,100","$70,600",43%,10%
Rochester University,"Private School, Religious","$41,700","$70,600",39%,3%
Lincoln Christian University,"Private School, Religious","$43,400","$70,500",67%,0%
University of Arkansas at Pine Bluff,"For Sports Fans, State School","$44,000","$70,500",62%,16%
Martin Luther College,"Private School, Religious","$39,600","$70,500",-,0%
Le Moyne-Owen College,"Private School, Religious","$46,900","$70,400",-,15%
Thomas University,Private School,"$41,600","$70,400",66%,3%
Central Baptist College,"Private School, Religious","$36,900","$70,400",-,1%
William Carey University,"Private School, Religious","$45,000","$70,400",67%,8%
Ohio State University-Lima Campus,State School,"$42,900","$70,300",-,4%
University of Mount Olive,"Private School, Religious","$45,800","$70,300",66%,4%
Indian River State College,State School,"$46,600","$70,300",60%,5%
Broward College,State School,"$49,700","$70,200",54%,5%
Grace Christian University,"Private School, Religious","$42,600","$70,200",-,0%
William Woods University,"Private School, Religious","$44,700","$70,000",65%,1%
Metropolitan College of New York,"Business, Private School","$46,500","$69,800",45%,0%
Northland College,"Liberal Arts School, Private School, Religious","$41,500","$69,800",69%,26%
Grambling State University,"For Sports Fans, State School","$47,300","$69,800",65%,12%
Elizabeth City State University,State School,"$45,100","$69,700",79%,21%
Briar Cliff University,"Private School, Religious","$47,600","$69,700",60%,6%
Valley City State University,State School,"$45,100","$69,600",51%,1%
Bay Path University,Private School,"$48,900","$69,500",55%,5%
New Orleans Baptist Theological Seminary,"Private School, Religious","$41,200","$69,500",-,0%
Lancaster Bible College,Private School,"$45,700","$69,400",71%,0%
College of Coastal Georgia,State School,"$45,900","$69,400",-,6%
Bethune-Cookman University,"Liberal Arts School, Private School, Religious, For Sports Fans","$45,500","$69,400",51%,9%
Maranatha Baptist University,"Private School, Religious","$44,800","$69,300",55%,1%
Central Christian College of Kansas,"Private School, Religious","$43,900","$69,300",-,3%
Mount Aloysius College,"Private School, Religious","$44,100","$69,200",64%,13%
Alcorn State University,"For Sports Fans, State School","$47,400","$69,000",71%,26%
King University,"Private School, Religious","$45,300","$68,800",63%,7%
The University of Montana-Western,State School,"$39,700","$68,800",64%,4%
Clarks Summit University,"Private School, Religious","$42,300","$68,700",65%,2%
Point University,"Private School, Religious","$40,300","$68,600",-,3%
Heritage University,Private School,"$45,400","$68,500",-,16%
Voorhees College,"Private School, Religious","$35,400","$68,200",-,18%
Talladega College,"Private School, Religious","$37,100","$68,000",-,21%
Harris-Stowe State University,State School,"$40,300","$68,000",69%,14%
University of Maine at Machias,"Liberal Arts School, State School","$42,000","$68,000",53%,5%
Mississippi University for Women,State School,"$44,100","$67,900",66%,3%
Tougaloo College,"Liberal Arts School, Private School, Religious","$38,200","$67,900",-,25%
Mars Hill University,Private School,"$43,300","$67,800",57%,13%
Fayetteville State University,State School,"$42,200","$67,600",66%,7%
Florida Memorial University,"Private School, Religious","$41,200","$67,600",-,11%
Midway University,"Private School, Religious","$42,800","$67,600",61%,3%
Hallmark University,Private School,"$42,400","$67,400",-,37%
Miles College,"Private School, Religious","$37,300","$67,200",64%,18%
Concordia University-Nebraska,"Private School, Religious","$44,000","$67,200",46%,9%
Virginia Union University,"Liberal Arts School, Private School, Religious","$43,400","$66,900",71%,17%
Ohio Christian University,"Private School, Religious","$41,400","$66,800",68%,0%
Saint Augustine's University,"Private School, Religious","$42,500","$66,600",68%,16%
Lindsey Wilson College,"Private School, Religious","$37,800","$66,600",55%,2%
University of Valley Forge,"Private School, Religious","$39,700","$66,400",74%,0%
Keiser University-Ft Lauderdale,Private School,"$48,300","$66,300",65%,5%
Columbia College (South Carolina),"Private School, Religious","$44,400","$66,200",54%,7%
Martin University,"Liberal Arts School, Private School","$37,700","$66,000",-,7%
Livingstone College,"Private School, Religious","$40,200","$65,900",-,19%
Prescott College,Private School,"$47,100","$65,900",76%,0%
Maine College of Art,"Art, Private School","$41,400","$65,600",28%,0%
Southern University at New Orleans,State School,"$44,600","$65,300",70%,14%
Fort Valley State University,State School,"$38,800","$65,200",62%,17%
Wilson College,"Private School, Religious","$38,700","$65,000",69%,3%
Campbellsville University,"Engineering, Private School, Religious","$42,800","$64,700",39%,71%
Bethel University (Tennessee),"Private School, Religious","$42,700","$64,500",61%,2%
Trinity Bible College and Graduate School,"Private School, Religious","$39,100","$64,100",-,0%
Toccoa Falls College,"Private School, Religious","$42,400","$63,900",76%,6%
Pacific Oaks College,Private School,"$38,600","$63,900",-,0%
Edward Waters College,"Private School, Religious","$36,300","$63,700",-,8%
Cheyney University of Pennsylvania,"Liberal Arts School, State School","$41,900","$63,600",68%,12%
West Virginia University at Parkersburg,State School,"$39,500","$63,600",70%,2%
Benedict College,"Private School, Religious","$42,000","$63,400",65%,13%
Mississippi Valley State University,"For Sports Fans, State School","$34,100","$63,300",81%,13%
Coker University,Private School,"$39,600","$63,200",57%,6%
"Springfield College-Regional, Online, and Continuing Education",Private School,"$38,600","$63,100",-,0%
Rust College,"Private School, Religious","$39,300","$63,100",79%,40%
Northpoint Bible College,"Private School, Religious","$35,800","$62,700",-,0%
Nazarene Bible College,"Private School, Religious","$39,800","$62,600",-,0%
New Hope Christian College-Eugene,"Private School, Religious","$38,200","$62,500",-,0%
Philander Smith College,"Liberal Arts School, Private School, Religious","$38,600","$61,500",85%,17%
Baptist Bible College,"Private School, Religious","$37,000","$61,400",-,0%
Ozark Christian College,"Private School, Religious","$37,900","$61,100",91%,0%
The Baptist College of Florida,"Private School, Religious","$36,800","$60,800",-,0%
Wiley College,"Private School, Religious","$39,100","$60,000",57%,12%
Stillman College,"Liberal Arts School, Private School, Religious","$39,000","$59,600",59%,13%
Claflin University,"Liberal Arts School, Private School, Religious","$42,300","$59,200",83%,16%
Shaw University,"Private School, Religious","$38,800","$58,800",76%,10%
Texas College,"Private School, Religious","$35,400","$58,500",-,15%
Great Lakes Christian College,"Private School, Religious","$35,100","$58,400",-,0%
Morris College,"Private School, Religious","$34,200","$57,400",66%,13%
Johnson University,"Private School, Religious","$36,800","$56,600",69%,0%
